SEQ_NO,SCCNT_YM,ORIGIN_ID,REPRSNT_KWRD_NM,SRCHWRD_NM,SCCNT_VALUE,ORIGIN_CL_NM
275212,Jul-21,SAN_0480,안산,안산,2991300,관광명소
275716,Jul-21,KC495PP19N026010,에버랜드,에버랜드,412700,관광명소
269249,Jul-21,KC495PP19N026003,롯데월드,롯데월드,411700,관광명소
264655,Jul-21,CULTURE_001471,강릉,강릉,328000,관광명소
264707,Jul-21,KC495PP19N026012,강원랜드,강원랜드,318400,관광명소
279558,Jul-21,SAN_0649,지리산,지리산,199800,관광명소
268148,Jul-21,KC495PP19N026068,대천해수욕장,대천해수욕장,198500,관광명소
274119,Jul-21,KC495PP19N032496,송추계곡,송추계곡,149100,관광명소
271009,Jul-21,KC495PP19N015927,백운계곡,백운계곡,138500,관광명소
277949,Jul-21,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,126710,관광명소
265023,Jul-21,CULTURE_001254,경복궁,경복궁,117000,관광명소
273890,Jul-21,KC495PP19N026055,속초해수욕장,속초해수욕장,109900,관광명소
273085,Jul-21,KC495PP19N026005,서울랜드,서울랜드,106700,관광명소
273995,Jul-21,KC495PP19N015834,송계계곡,송계계곡,103250,관광명소
282197,Jul-21,KC495PP19N026067,협재해수욕장,협재해수욕장,101950,관광명소
281883,Jul-21,KC495PP19N026114,함덕해수욕장,함덕해수욕장,99370,관광명소
281300,Jul-21,KC495PP19N014036,포천계곡,포천계곡,96800,관광명소
265175,Jul-21,KC495PP19N035732,고기리계곡,고기리계곡,94010,관광명소
278097,Jul-21,KC495PP19N026020,이월드,이월드,87400,관광명소
282811,Jul-21,KC495PP19N032727,흥정계곡,흥정계곡,84970,관광명소
278715,Jul-21,KC495PP19N020116,장흥계곡,장흥계곡,83940,관광명소
275088,Jul-21,KC495PP19N026216,아야진해수욕장,아야진해수욕장,83380,관광명소
274988,Jul-21,KC495PP19N001640,쌍곡계곡,쌍곡계곡,83060,관광명소
269252,Jul-21,KC495PP19N020015,루지,루지,78790,관광명소
267103,Jul-21,CULTURE_001509,남한산성,남한산성,76200,관광명소
277591,Jul-21,KC495PP19N033737,월미도,월미도,73090,관광명소
281303,Jul-21,KC498PP19N000298,포천아트밸리,포천아트밸리,72160,관광명소
273097,Jul-21,KC498PP19N008095,서울숲,서울숲,68790,관광명소
277052,Jul-21,KC495PP19N020111,용추계곡,용추계곡,68700,관광명소
270885,Jul-21,SAN_0284,백두산,백두산,67440,관광명소
269460,Jul-21,KC495PP19N026071,만리포해수욕장,만리포해수욕장,64270,관광명소
270665,Jul-21,SAN_0277,발왕산,발왕산,61980,관광명소
273027,Jul-21,SAN_0416,서산,서산,61900,관광명소
281724,Jul-21,SAN_0734,한라산,한라산,61370,관광명소
274108,Jul-21,KC495PP19N026101,송지호해수욕장,송지호해수욕장,60740,관광명소
265536,Jul-21,KC495PP19N026121,곽지해수욕장,곽지해수욕장,60680,관광명소
270872,Jul-21,KC495PP19N032419,백담계곡,백담계곡,59990,관광명소
282066,Jul-21,KC495PP19N026061,해운대해수욕장,해운대해수욕장,59460,관광명소
272366,Jul-21,KC495PP19N015081,삼막사계곡,삼막사계곡,56390,관광명소
274536,Jul-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,54870,관광명소
269046,Jul-21,SAN_0201,두타산,두타산,53210,관광명소
272005,Jul-21,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,52490,관광명소
272008,Jul-21,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,52490,관광명소
280097,Jul-21,KC495PP19N032678,천지연폭포,천지연폭포,51720,관광명소
275209,Jul-21,KC495PP19N026214,안목해변,안목해변,51270,관광명소
266745,Jul-21,KC495PP19N026070,꽃지해수욕장,꽃지해수욕장,50850,관광명소
277175,Jul-21,KC495PP19N002780,우이동계곡,우이동계곡,48710,관광명소
269576,Jul-21,KC495PP19N026053,망상해수욕장,망상해수욕장,48680,관광명소
267577,Jul-21,KC495PP19N026146,다대포해수욕장,다대포해수욕장,48260,관광명소
269989,Jul-21,KC495PP19N026093,몽산포해수욕장,몽산포해수욕장,47440,관광명소
279687,Jul-21,KC495PP19N016013,진관사계곡,진관사계곡,47070,관광명소
273455,Jul-21,SAN_0433,설악산,설악산,46010,관광명소
275604,Jul-21,KC495PP19N026002,어린이대공원,어린이대공원,45990,관광명소
280931,Jul-21,KC498PP19N008160,태종대,태종대,45790,관광명소
271235,Jul-21,SAN_0318,변산,변산,44970,관광명소
266130,Jul-21,KC495PP19N022610,군위삼국유사테마파크,군위삼국유사테마파크,44180,관광명소
265629,Jul-21,KC498PP19N001608,광교호수공원,광교호수공원,44140,관광명소
266631,Jul-21,KC495PP19N026079,김녕해수욕장,김녕해수욕장,43320,관광명소
276613,Jul-21,KC498PP19N003230,올림픽공원,올림픽공원,42380,관광명소
273082,Jul-21,KC495PP19N025985,서울대공원,서울대공원,42040,관광명소
277269,Jul-21,KC495PP19N033732,운일암반일암,운일암반일암,42030,관광명소
274460,Jul-21,KC495PP19N014706,순천만국가정원,순천만국가정원,41410,관광명소
282430,Jul-21,KC495PP19N032718,화양계곡,화양계곡,41230,관광명소
276923,Jul-21,SAN_0546,용산,용산,41110,관광명소
266861,Jul-21,KC495PP19N026056,낙산해수욕장,낙산해수욕장,40820,관광명소
277467,Jul-21,KC495PP19N013954,원앙폭포,원앙폭포,40610,관광명소
281589,Jul-21,KC495PP19N026057,하조대해수욕장,하조대해수욕장,40540,관광명소
271753,Jul-21,SAN_0361,북한산,북한산,40430,관광명소
278408,Jul-21,KC495PP19N026230,자작도해수욕장,자작도해수욕장,39270,관광명소
278654,Jul-21,KC495PP19N000718,장유대청계곡,장유대청계곡,39240,관광명소
281931,Jul-21,KC495PP19N013517,함허동천,함허동천,38740,관광명소
266058,Jul-21,KC495PP19N026274,구조라해수욕장,구조라해수욕장,38170,관광명소
280192,Jul-21,CULTURE_001236,첨성대,첨성대,36730,관광명소
270109,Jul-21,KC495PP19N026069,무창포해수욕장,무창포해수욕장,36720,관광명소
268302,Jul-21,CULTURE_001248,덕수궁,덕수궁,36550,관광명소
276961,Jul-21,KC495PP19N015851,용소폭포,용소폭포,36210,관광명소
266854,Jul-21,KC498PP19N007232,낙산공원,낙산공원,36020,관광명소
268766,Jul-21,KC495PP19N026288,동막해수욕장,동막해수욕장,35030,관광명소
265675,Jul-21,KC495PP19N026060,광안리해수욕장,광안리해수욕장,33730,관광명소
276424,Jul-21,CULTURE_001188,오죽헌,오죽헌,33530,관광명소
265497,Jul-21,KC498PP19N000024,공원,공원,33520,관광명소
268879,Jul-21,KC498PP19N004250,동탄호수공원,동탄호수공원,33110,관광명소
274203,Jul-21,KC495PP19N015932,수락계곡,수락계곡,32950,관광명소
276738,Jul-21,KC495PP19N026220,왕산해수욕장,왕산해수욕장,32910,관광명소
269825,Jul-21,KC495PP19N032394,명지계곡,명지계곡,32420,관광명소
268887,Jul-21,KC495PP19N014000,동학사계곡,동학사계곡,32240,관광명소
265072,Jul-21,CULTURE_001445,경주대릉원,경주대릉원,31870,관광명소
269338,Jul-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,31750,관광명소
280553,Jul-21,KC495PP19N026110,춘장대해수욕장,춘장대해수욕장,31640,관광명소
265075,Jul-21,CULTURE_001210,경주문무대왕릉,경주문무대왕릉,31490,관광명소
271543,Jul-21,KC495PP19N026179,봉포해수욕장,봉포해수욕장,31280,관광명소
280216,Jul-21,SAN_0684,청계산,청계산,30980,관광명소
268807,Jul-21,KC495PP19N015852,동산계곡,동산계곡,30930,관광명소
268378,Jul-21,KC495PP19N032371,덕풍계곡,덕풍계곡,30880,관광명소
265718,Jul-21,KC495PP19N026008,광주패밀리랜드,광주패밀리랜드,30820,관광명소
281320,Jul-21,KC495PP19N026112,표선해수욕장,표선해수욕장,30570,관광명소
282475,Jul-21,KC495PP19N026052,화진포해수욕장,화진포해수욕장,30540,관광명소
273880,Jul-21,SAN_0448,속리산,속리산,29920,관광명소
278204,Jul-21,KC498PP19N008158,인천대공원,인천대공원,29640,관광명소
276947,Jul-21,KC495PP19N023354,용소계곡,용소계곡,29440,관광명소
276460,Jul-21,KC495PP19N032562,옥계계곡,옥계계곡,29020,관광명소
269329,Jul-21,SAN_0211,마산,마산,28820,관광명소
280103,Jul-21,KC495PP19N023196,천진암계곡,천진암계곡,28790,관광명소
268505,Jul-21,KC495PP19N032373,도마치계곡,도마치계곡,28520,관광명소
266258,Jul-21,SAN_0096,금강산,금강산,28280,관광명소
268266,Jul-21,KC495PP19N013998,덕동계곡,덕동계곡,28120,관광명소
270006,Jul-21,KC495PP19N014003,묘적사계곡,묘적사계곡,27710,관광명소
279877,Jul-21,CULTURE_001249,창덕궁,창덕궁,27310,관광명소
272506,Jul-21,KC495PP19N026054,삼척해수욕장,삼척해수욕장,27200,관광명소
269439,Jul-21,KC498PP19N001535,만남의광장,만남의광장,27130,관광명소
275132,Jul-21,KC495PP19N023285,아쿠아틱파크아마존,아쿠아틱파크아마존,27060,관광명소
269689,Jul-21,KC495PP19N026092,맹방해수욕장,맹방해수욕장,26570,관광명소
279801,Jul-21,KC495PP19N026108,진하해수욕장,진하해수욕장,26560,관광명소
279400,Jul-21,KC495PP19N026066,중문색달해수욕장,중문색달해수욕장,26540,관광명소
271586,Jul-21,KC495PP19N001193,부곡하와이,부곡하와이,26400,관광명소
280144,Jul-21,KC495PP19N023567,철구소계곡,철구소계곡,26250,관광명소
275790,Jul-21,KC498PP19N000039,여의도한강공원,여의도한강공원,25950,관광명소
266391,Jul-21,SAN_0105,금산,금산,25900,관광명소
281469,Jul-21,KC495PP19N026063,하나개해수욕장,하나개해수욕장,25850,관광명소
281571,Jul-21,KC495PP19N015742,하옥계곡,하옥계곡,25800,관광명소
279466,Jul-21,KC495PP19N032663,중원계곡,중원계곡,25520,관광명소
277630,Jul-21,SAN_0568,월악산,월악산,25350,관광명소
273807,Jul-21,SAN_0445,소백산,소백산,25100,관광명소
279639,Jul-21,KC495PP19N000944,지장산계곡,지장산계곡,24920,관광명소
278750,Jul-21,KC495PP19N032636,재인폭포,재인폭포,24910,관광명소
278443,Jul-21,KC495PP19N001120,작천정계곡,작천정계곡,24690,관광명소
265053,Jul-21,CULTURE_001164,경애왕릉,경애왕릉,24670,관광명소
271625,Jul-21,KC498PP19N001522,부산시민공원,부산시민공원,24500,관광명소
280419,Jul-21,KC495PP19N026245,청포대해수욕장,청포대해수욕장,24500,관광명소
277437,Jul-21,KC495PP19N015060,원마운트,원마운트,24450,관광명소
272533,Jul-21,KC495PP19N026099,삼포해수욕장,삼포해수욕장,24420,관광명소
271243,Jul-21,KC495PP19N026065,변산해수욕장,변산해수욕장,24200,관광명소
277315,Jul-21,KC495PP19N026021,울산대공원,울산대공원,24190,관광명소
272551,Jul-21,KC495PP19N002969,삽교호놀이동산,삽교호놀이동산,23880,관광명소
270453,Jul-21,KC495PP19N026168,민머루해수욕장,민머루해수욕장,23820,관광명소
273288,Jul-21,KC498PP19N000632,석촌호수,석촌호수,23810,관광명소
265581,Jul-21,SAN_0065,관악산,관악산,23790,관광명소
277085,Jul-21,KC495PP19N032605,용현계곡,용현계곡,23720,관광명소
265584,Jul-21,KC495PP19N015116,관악산계곡,관악산계곡,23710,관광명소
281140,Jul-21,SAN_0722,팔공산,팔공산,23700,관광명소
270399,Jul-21,KC495PP19N032412,미시령계곡,미시령계곡,23670,관광명소
