SEQ,SCCNT_YM,ORIGIN_SN_ID,KWRD_NM,SRCHWRD_NM,SCCNT,ORIGIN_TY
275718,Sep-21,KC495PP19N026010,에버랜드,에버랜드,996700,관광명소
269251,Sep-21,KC495PP19N026003,롯데월드,롯데월드,624400,관광명소
279560,Sep-21,SAN_0649,지리산,지리산,378700,관광명소
273087,Sep-21,KC495PP19N026005,서울랜드,서울랜드,368800,관광명소
264709,Sep-21,KC495PP19N026012,강원랜드,강원랜드,280900,관광명소
265025,Sep-21,CULTURE_001254,경복궁,경복궁,235600,관광명소
273084,Sep-21,KC495PP19N025985,서울대공원,서울대공원,179200,관광명소
275214,Sep-21,SAN_0480,안산,안산,172900,관광명소
264657,Sep-21,CULTURE_001471,강릉,강릉,158600,관광명소
273099,Sep-21,KC498PP19N008095,서울숲,서울숲,157400,관광명소
266218,Sep-21,KC498PP19N007025,그린랜드,그린랜드,136970,관광명소
275606,Sep-21,KC495PP19N026002,어린이대공원,어린이대공원,136780,관광명소
267105,Sep-21,CULTURE_001509,남한산성,남한산성,134700,관광명소
281305,Sep-21,KC498PP19N000298,포천아트밸리,포천아트밸리,115180,관광명소
278099,Sep-21,KC495PP19N026020,이월드,이월드,107900,관광명소
281485,Sep-21,KC498PP19N002828,하늘공원,하늘공원,106420,관광명소
276615,Sep-21,KC498PP19N003230,올림픽공원,올림픽공원,95440,관광명소
277593,Sep-21,KC495PP19N033737,월미도,월미도,84280,관광명소
281726,Sep-21,SAN_0734,한라산,한라산,82500,관광명소
268304,Sep-21,CULTURE_001248,덕수궁,덕수궁,81900,관광명소
270887,Sep-21,SAN_0284,백두산,백두산,80800,관광명소
269254,Sep-21,KC495PP19N020015,루지,루지,78130,관광명소
269340,Sep-21,KC495PP19N022603,마산로봇랜드,마산로봇랜드,75310,관광명소
266856,Sep-21,KC498PP19N007232,낙산공원,낙산공원,73570,관광명소
273457,Sep-21,SAN_0433,설악산,설악산,73300,관광명소
277951,Sep-21,KC495PP19N026062,을왕리해수욕장,을왕리해수욕장,73140,관광명소
271237,Sep-21,SAN_0318,변산,변산,72370,관광명소
280194,Sep-21,CULTURE_001236,첨성대,첨성대,71300,관광명소
265631,Sep-21,KC498PP19N001608,광교호수공원,광교호수공원,70390,관광명소
265283,Sep-21,KC495PP19N026000,고성공룡엑스포,고성공룡엑스포,69670,관광명소
268150,Sep-21,KC495PP19N026068,대천해수욕장,대천해수욕장,68510,관광명소
274462,Sep-21,KC495PP19N014706,순천만국가정원,순천만국가정원,67070,관광명소
274538,Sep-21,KC495PP19N019991,스포츠몬스터,스포츠몬스터,64260,관광명소
271755,Sep-21,SAN_0361,북한산,북한산,63680,관광명소
267938,Sep-21,SAN_0158,대둔산,대둔산,63480,관광명소
278206,Sep-21,KC498PP19N008158,인천대공원,인천대공원,62810,관광명소
279879,Sep-21,CULTURE_001249,창덕궁,창덕궁,62200,관광명소
273029,Sep-21,SAN_0416,서산,서산,60000,관광명소
269048,Sep-21,SAN_0201,두타산,두타산,58170,관광명소
275792,Sep-21,KC498PP19N000039,여의도한강공원,여의도한강공원,56630,관광명소
281885,Sep-21,KC495PP19N026114,함덕해수욕장,함덕해수욕장,54760,관광명소
272007,Sep-21,KC495PP19N023376,뽀로로테마파크,뽀로로테마파크,51960,관광명소
272010,Sep-21,KC495PP19N022710,뽀로로테마파크(2020년5월예정),뽀로로테마파크,51960,관광명소
265499,Sep-21,KC498PP19N000024,공원,공원,51320,관광명소
273290,Sep-21,KC498PP19N000632,석촌호수,석촌호수,51230,관광명소
282199,Sep-21,KC495PP19N026067,협재해수욕장,협재해수욕장,51090,관광명소
