tour,spring,summer,autumn,winter
에버랜드,1,0,1,0
롯데월드,1,0,1,1
강원랜드,0,1,1,0
서울랜드,1,0,1,0
강릉,0,0,1,1
경복궁,1,0,1,0
지리산,0,0,1,1
서울숲,1,1,1,0
이월드,1,1,1,1
대천해수욕장,1,1,0,0
서울대공원,1,0,1,0
어린이대공원,1,0,1,0
함덕해수욕장,1,1,1,0
포천아트밸리,1,1,1,0
남한산성,1,0,1,0
을왕리해수욕장,1,1,1,0
협재해수욕장,1,1,0,0
한라산,0,0,1,1
월미도,1,1,1,0
올림픽공원,1,0,1,0
송추계곡,0,1,0,0
백두산,0,1,1,1
태종대,1,1,1,0
안산,0,1,0,0
광교호수공원,1,1,1,0
서산,1,1,1,0
루지,0,1,0,1
마산로봇랜드,1,0,1,0
뽀로로테마파크,1,1,1,1
천지연폭포,1,1,1,0
낙산공원,1,1,1,1
순천만국가정원,1,1,1,0
창덕궁,1,0,1,0
설악산,0,0,1,0
두타산,0,1,1,0
북한산,1,0,1,0
아야진해수욕장,0,1,0,0
스포츠몬스터,1,1,1,1
곽지해수욕장,1,1,0,0
속초해수욕장,1,1,0,0
첨성대,1,1,1,0
덕수궁,1,0,1,0
인천대공원,1,0,1,0
여의도한강공원,1,1,1,0
안목해변,1,1,0,0
꽃지해수욕장,1,1,1,0
반포한강공원,1,1,1,0
뚝섬한강공원,1,1,1,0
몽산포해수욕장,1,1,1,0
공원,1,1,1,0
광주패밀리랜드,1,0,1,0
청계산,1,0,1,0
다대포해수욕장,1,1,0,0
오죽헌,1,1,1,0
백운계곡,0,1,0,0
용산,1,0,0,0
고기리계곡,0,1,0,0
김녕해수욕장,1,1,1,0
동탄호수공원,1,1,1,0
고성공룡엑스포,0,0,1,0
일산호수공원,1,1,1,0
창경궁,1,0,1,0
관악산,1,0,1,0
물의정원,1,1,1,0
울산대공원,1,1,1,0
송지호해수욕장,1,1,0,0
왕산해수욕장,1,1,1,0
만리포해수욕장,0,1,0,0
송계계곡,0,1,0,0
민머루해수욕장,0,1,1,0
금오산,1,1,0,1
경주대릉원,1,1,1,0
부산시민공원,1,1,1,0
아차산,1,1,1,0
석촌호수,1,0,0,0
하나개해수욕장,1,1,1,0
속리산,1,0,1,0
북서울꿈의숲,1,0,1,0
삼척장미공원,1,1,0,0
군위삼국유사테마파크,1,1,1,1
삼막사계곡,0,1,0,0
광안리해수욕장,1,1,0,0
세리월드,0,1,1,0
변산,0,1,1,1
남산,1,0,1,0
포천계곡,0,1,0,0
덕유산,0,0,1,1
춘장대해수욕장,1,1,1,0
만남의광장,1,1,1,0
동막해수욕장,1,1,1,0
양재시민의숲,1,1,1,0
제주공룡랜드,0,1,1,0
수락산,1,0,1,0
마산,1,1,1,1
하늘정원,1,1,1,0
소백산,1,0,1,1
표선해수욕장,1,1,0,0
무창포해수욕장,1,1,1,0
하조대해수욕장,0,1,1,0
돌산공원,0,1,1,0
하늘공원,0,0,1,0
금강산,0,1,1,0
종묘,1,1,1,0
망상해수욕장,1,1,0,0
도봉산,1,0,1,0
선유도공원,1,0,1,0
해운대해수욕장,1,1,0,0
경주문무대왕릉,1,1,1,0
용추계곡,0,1,0,0
장흥계곡,0,1,0,0
제주곶자왈도립공원,1,1,1,0
팔공산,1,0,1,0
치악산,0,1,1,0
우이동계곡,0,1,0,0
재인폭포,0,1,1,0
청포대해수욕장,1,1,1,0
세종호수공원,1,1,1,0
금능해수욕장,1,1,0,0
베어트리파크,1,1,1,0
무등산,1,0,1,1
도산공원,1,1,1,0
삽교호놀이동산,1,1,1,0
수리산,1,1,0,0
쌍곡계곡,0,1,0,0
대둔산,1,0,1,0
수변공원,1,1,1,0
제주불빛정원,1,1,1,1
수봉공원,1,1,1,0
월악산,1,1,1,0
흥정계곡,0,1,0,0
계룡산,1,0,1,0
주왕산,0,0,1,0
보라매공원,1,1,0,0
망원한강공원,1,1,1,0
구미에코랜드,1,1,1,0
통도환타지아,1,1,1,0
숭례문,1,1,1,0
방아머리해수욕장,1,1,1,0
태산패밀리파크,1,1,0,0
금산,1,1,1,0
경의선숲길,1,1,1,0
안양예술공원,1,1,0,0
중문색달해수욕장,1,1,0,0
낙산해수욕장,0,1,0,0
알파카월드,0,1,1,0
무안황토갯벌랜드,1,1,1,0
칠갑산,1,1,1,1
공산성,0,1,1,0
별빛정원우주,0,1,1,1
청옥산,0,1,0,0
하이원추추파크,1,1,1,0
잭슨나인스,1,1,1,1
율동공원,1,1,1,0
산방산,1,0,0,1
부곡하와이,1,1,0,1
한림공원,1,1,1,0
아쿠아틱파크아마존,0,1,0,0
마이산,1,1,1,0
천마산,1,1,1,0
광교산,1,1,1,0
선릉,1,1,1,0
감악산,0,0,1,0
선녀바위해수욕장,1,1,1,0
그랜드유원지,0,1,0,0
무주반디랜드,0,1,1,1
장미공원,1,1,1,0
하니랜드,1,1,1,0
오대산,0,0,1,0
태백산,0,0,0,1
미인폭포,0,1,1,0
검단산,1,1,1,1
트윈터널,0,1,1,0
벌천포해수욕장,1,1,1,0
왜목마을해수욕장,0,1,1,0
잠원한강공원,1,1,1,0
화진포해수욕장,0,1,1,0
변산해수욕장,1,1,1,0
묘적사계곡,0,1,0,0
청라호수공원,1,1,1,0
구조라해수욕장,0,1,0,0
진해해양공원,1,1,1,0
정릉,1,1,1,1
해인사팔만대장경,0,1,1,0
명지계곡,0,1,0,0
상족암군립공원,0,1,1,0
주왕산국립공원,0,0,1,0
운일암반일암,0,1,0,0
원마운트,1,1,0,1
한라산국립공원,0,0,0,1
진위천유원지,1,1,1,0
자작도해수욕장,0,1,0,0
용각산,1,0,0,1
경주버드파크,1,0,1,1
가야산,1,0,1,0
난지한강공원,1,1,0,0
월출산,1,1,1,0
원앙폭포,0,1,0,0
장흥유원지,1,1,0,0
무릉계곡,0,1,1,0
마니산,1,0,1,0
부산어린이대공원,1,1,1,0
설악산국립공원,1,1,1,0
대왕암공원,0,1,1,0
잠실한강공원,1,1,1,0
황매산,1,0,1,0
팔당물안개공원,1,1,1,0
태화강국가정원,1,1,1,0
동촌유원지,1,0,1,0
암남공원,1,1,1,0
독산해수욕장,1,1,1,0
용문산,1,0,1,0
진하해수욕장,1,1,0,0
하옥계곡,0,1,0,0
삼척해수욕장,0,1,0,0
용마산,1,1,1,0
백운산,1,1,1,1
화양계곡,0,1,0,0
설리해수욕장,0,1,0,0
인천가족공원,0,0,1,1
두류공원,1,1,1,0
정방폭포,1,1,1,0
용소폭포,0,1,0,0
내장산,0,0,1,0
에코랜드테마파크,0,1,1,0
백담계곡,0,1,0,0
십리포해수욕장,1,1,0,0
그린랜드,0,0,1,0
이순신공원,0,1,1,0
유월드루지테마파크,0,1,1,0
휘닉스블루캐니언,1,1,0,0
국립생태원,1,1,1,0
고양어울림누리,1,0,1,0
영덕해맞이공원,0,1,1,0
이촌한강공원,1,1,1,0
천마총,1,1,1,0
함허동천,0,1,0,0
양평쉬자파크,1,1,1,0
센트럴파크,1,0,1,0
맹방해수욕장,0,1,1,0
삼포해수욕장,1,1,0,0
용산가족공원,1,0,1,0
상어가족,0,1,0,0
소래산,1,0,1,1
더마파크,1,1,1,0
제부도해수욕장,0,1,1,0
지리산국립공원,1,1,1,1
선유도해수욕장,0,1,1,0
유명산,1,1,1,0
경희궁,1,0,1,0
민락수변공원,1,1,1,0
소요산,1,0,1,0
청학동계곡,0,1,0,0
사패산,1,0,1,1
충주라이트월드,0,1,0,0
청도읍성,0,1,1,0
서서울호수공원,1,0,1,1
산굼부리,0,0,1,1
연꽃테마파크,0,1,1,0
용현계곡,0,1,0,0
응봉산,1,0,0,0
문경새재도립공원,0,1,1,0
양화한강공원,1,1,1,0
장유대청계곡,0,1,0,0
동산계곡,0,1,0,0
이호테우해수욕장,0,1,1,0
엉또폭포,0,1,1,0
동학사계곡,0,1,0,0
칠보산,1,1,0,1
천진암계곡,0,1,0,0
악양생태공원,1,1,1,0
삼봉해수욕장,1,1,1,0
봉포해수욕장,0,1,0,0
청량산,1,0,1,0
오류고아라해변,0,1,0,0
진관사계곡,0,1,0,0
서울함공원,1,1,1,0
액션하우스,0,1,1,0
남일대해수욕장,1,1,0,0
세화해수욕장,1,1,0,0
팔봉산,1,1,1,0
도초수국공원,0,1,0,0
연오랑세오녀테마공원,0,1,1,0
광덕산,1,1,1,0
가리왕산,1,1,1,1
여의도공원,1,1,1,0
효창공원,1,0,0,1
문화비축기지,1,1,1,0
영일대해수욕장,0,1,0,0
고래불해수욕장,1,1,0,0
웅산,1,1,1,1
옥계계곡,0,1,0,0
명사십리해수욕장,0,1,0,0
호수공원,1,0,1,0
천제연폭포,0,1,1,0
중원계곡,0,1,0,0
송도달빛축제공원,1,1,1,0
태기산,0,1,0,1
서울로7017,1,1,1,0
가산,1,1,1,0
자연농원,1,1,1,0
고사포해수욕장,1,1,1,0
배내골,0,1,0,0
호박소계곡,0,1,0,0
오봉산,1,1,1,0
월악산국립공원,0,1,1,0
한려해상국립공원,1,1,1,0
상동호수공원,1,1,1,0
도마치계곡,0,1,0,0
광치기해변,1,1,1,1
다이노스타,0,1,1,0
밧개해수욕장,1,1,0,0
